Beer,Type,ABV,Manufacture,Food,Taste,Price,Volume,Untappd_rating
Hoegaarden,Wheat Beer,"4,9",Brouwerij Hoegaarden,"Spicy, Fish, Vegetable","Fruity taste with hints of wheat bread, lemon and jasmine rice.",17kr,330ml,"3,56/5"
1664 Blanc,Wheat Beer,5,Kronenbourg Brewery,"Spicy, Shellfish","Fruity taste with a clear character of lemon and coriander.","17,7kr",330ml,"3,49/5"
Erdinger,Wheat Beer,"5,3",Erdinger Weissbräu,"Pork, Fish, Asian, Spicy, ","Bready, fruity taste with hints of citrus, apricot, spices and banana.","23,9kr",500ml,"3,66/5"
Franziskaner,Wheat Beer,5,Spaten-Franziskaner-Löwenbräu-Gruppe,"Fisk, Spicy, Vegetable","Spicy taste with hints of banana, dried apricots, citrus and cloves.","23,6kr",500ml,"3,71/5"
Weihenstephaner,Wheat Beer,"5,4",Bayerische Staatsbrauerei Weihenstephan,"Pork, Spicy, Vegetable","Fruity taste with hints of apricot, citrus, honey and cloves.","23,9kr",500ml,"3,8/5"
Clementine,Wheat Beer,6,Clown Shoes,"Pork, Bird, Spicy, Vegetable","Fruity, nuanced taste with hints of apricot, orange, light bread, spices, coriander, herbs and mandarin peel.","32,9kr",473ml,"3,5/5"
WIT,Wheat Beer,"4,7",Poppels Bryggeri,"Fish, Spicy, Vegetable","Fruity taste with hints of citrus, coriander and banana.",20kr,330ml,"3,27/5"
Paulaner,Wheat Beer,"5,5",Paulaner Baruerei,"Spicy, Vegetable","Fruity, slightly spicy taste with hints of apricot, foam banana, light bread and jasmine rice.","23,9kr",500ml,"3,67/5"
Lowlander White Ale,Wheat Beer,5,Lowlander Beer,"Spicy, Vegetable, Cheese","Nuanced, spicy, fruity aroma with hints of citrus peel, banana, chamomile, apricot, cloves, light bread and dried ginger.","19,9kr",330ml,"3,45/5"
Wisby Weisse,Wheat Beer,"5,2",Gotlands Bryggeri,"Fish, Asian, Spicy","Fruity taste with hints of banana, apricot, wheat bread, spices and citrus.","24,9kr",500ml,"3,41/5"
Belgian White,Wheat Beer,"5,4",Blue Moon Brewing Company,"Pork, Bird, Spicy","Spicy taste with hints of allspice, light bread, jasmine rice and honey.","18,9kr",330ml,"3,5/5"
Wedge Cut,Wheat Beer,"4,5",Cigar City Brewing,"Bird, Spicy, Vegetable","Fruity taste with hints of lemon peel, light bread, fresh herbs and spices.","24,9kr",355ml,"3,15/5"
Erdinger Kristall,Wheat Beer,"5,3",Erdinger Weissbräu,"Bird, Fish, Spicy","Fruity taste with hints of apricot, light bread and honey.","23,9kr",500ml,"3,38/5"
The Tail of a Whale,Wheat Beer,"4,8",Brutal Brewing,"Pork, Bird, Vegetable","Fruity, hop-aromatic taste with clear bitterness, hints of pineapple, grapefruit and pine needles.","15,9kr",330ml,"3,43/5"
Hefe-Weissbier,Wheat Beer,5,Privatbrauerei Kaiserdom,"Fish, Spicy, Vegetable","Spicy taste with hints of coriander, light bread, banana, allspice and honey.","21,9kr",500ml,"3,19/5"
Icelandic White Ale,Wheat Beer,"5,2",Einstök Ölgerð,"Fish, Bird, Asian, Spicy","Spicy taste with hints of coriander, light bread, citrus and honey.","25,9kr",330ml,"3,68/5"
BesserWeisser,Wheat Beer,"5,5",Stockholm Brewing Company,"Pork, Bird, Spicy","Spicy taste with hints of banana, cloves and light bread.",35kr,440ml,"3,27/5"
Festweisse (TAP04),Wheat Beer,"6,2",Schneider Weisse G. Schneider & Sohn,"Pork, Spicy, Vegetable","Spicy, fruity taste with hints of light bread, orange, honey and cloves.","25,9kr",500ml,"3,67/5"
Grünbacher Urweisse Hell,Wheat Beer,"5,1",Schloßbrauerei Grünbach,"Fish, Spicy, Vegetable","Fruity taste with hints of banana, light bread, cloves, honey and citrus.","22,9kr",500ml,"3,31/5"